AnnotationID,Section,Session_ID,Window_Index,Window_Position,Start_Time,End_Time,n_events,n_users,User_Distribution,Top_User_Share,Dominant_Event,R_event,Dominant_Component,R_component,Event_Distribution,Component_Distribution,Prior_Window_Summary,Next_Window_Summary,Alignment,Dispersion,Stability,Action,Notes
45,Sec-14,12,47,Window 1 of 10 in this session,2/23/2026 8:06,2/23/2026 8:07,7,4,"S1=3, S2=2, S3=1, S4=1",0.43,Course module viewed,0.571,File,0.571,"Course module viewed: 4, Course viewed: 3","File: 4, System: 3",(none — first retained window of session),"W50 [08:09]: 11 events, n_users=7, dominant=Course module viewed",,,,,
46,Sec-14,67,110,Window 14 of 14 in this session,4/13/2026 9:38,4/13/2026 9:39,6,4,"S1=2, S2=2, S3=1, S4=1",0.33,Course module viewed,1,File,1,Course module viewed: 6,File: 6,"W101 [09:29]: 7 events, n_users=3, dominant=Course module viewed",(none — last retained window of session),,,,,
47,Sec-14,67,23,Window 3 of 14 in this session,4/13/2026 8:11,4/13/2026 8:12,5,3,"S1=3, S2=1, S3=1",0.6,Course module viewed,0.6,File,0.6,"Course module viewed: 3, Course viewed: 2","File: 3, System: 2","W15 [08:03]: 4 events, n_users=3, dominant=Course module viewed","W24 [08:12]: 5 events, n_users=4, dominant=Course viewed",,,,,
48,Sec-15,3,32,Window 3 of 4 in this session,2/16/2026 10:22,2/16/2026 10:23,18,13,"S1=3, S2=2, S3=2, S4=2, S5=1, S6=1, S7=1, S8=1, S9=1, S10=1, S11=1, S12=1, S13=1",0.17,Course module viewed,0.722,File,0.611,"Course module viewed: 13, Course viewed: 4, Section viewed: 1","File: 11, System: 5, Page: 2","W31 [10:21]: 5 events, n_users=4, dominant=Course viewed","W33 [10:23]: 23 events, n_users=11, dominant=Course module viewed",,,,,
49,Sec-15,4,25,Window 3 of 3 in this session,2/16/2026 11:33,2/16/2026 11:34,14,4,"S1=5, S2=4, S3=4, S4=1",0.36,Course module viewed,0.857,File,0.714,"Course module viewed: 12, Course viewed: 2","File: 10, Page: 2, System: 2","W24 [11:32]: 20 events, n_users=6, dominant=Course module viewed",(none — last retained window of session),,,,,
50,Sec-15,4,24,Window 2 of 3 in this session,2/16/2026 11:32,2/16/2026 11:33,20,6,"S1=7, S2=5, S3=2, S4=2, S5=2, S6=2",0.35,Course module viewed,0.8,File,0.8,"Course module viewed: 16, Course viewed: 3, Section viewed: 1","File: 16, System: 4","W23 [11:31]: 7 events, n_users=3, dominant=Course module viewed","W25 [11:33]: 14 events, n_users=4, dominant=Course module viewed",,,,,
51,Sec-15,8,57,Window 13 of 13 in this session,2/18/2026 10:54,2/18/2026 10:55,7,3,"S1=4, S2=2, S3=1",0.57,Course module viewed,0.571,File,0.429,"Course module viewed: 4, Course viewed: 2, The status of the submission has been viewed.: 1","File: 3, Assignment: 2, System: 2","W56 [10:53]: 24 events, n_users=7, dominant=Course module viewed",(none — last retained window of session),,,,,
52,Sec-15,4,23,Window 1 of 3 in this session,2/16/2026 11:31,2/16/2026 11:32,7,3,"S1=4, S2=2, S3=1",0.57,Course module viewed,0.714,File,0.714,"Course module viewed: 5, Course viewed: 1, Section viewed: 1","File: 5, System: 2",(none — first retained window of session),"W24 [11:32]: 20 events, n_users=6, dominant=Course module viewed",,,,,
53,Sec-15,90,12,Window 2 of 13 in this session,4/13/2026 10:07,4/13/2026 10:08,4,4,"S1=1, S2=1, S3=1, S4=1",0.25,Course module viewed,0.75,File,0.75,"Course module viewed: 3, Course viewed: 1","File: 3, System: 1","W10 [10:05]: 11 events, n_users=4, dominant=Course module viewed","W13 [10:08]: 19 events, n_users=7, dominant=Course module viewed",,,,,
54,Sec-15,90,46,Window 13 of 13 in this session,4/13/2026 10:41,4/13/2026 10:42,6,4,"S1=2, S2=2, S3=1, S4=1",0.33,Course module viewed,1,File,1,Course module viewed: 6,File: 6,"W43 [10:38]: 4 events, n_users=4, dominant=Course module viewed",(none — last retained window of session),,,,,
55,Sec-15,90,15,Window 4 of 13 in this session,4/13/2026 10:10,4/13/2026 10:11,10,7,"S1=3, S2=2, S3=1, S4=1, S5=1, S6=1, S7=1",0.3,Course module viewed,0.7,File,0.7,"Course module viewed: 7, Course viewed: 3","File: 7, System: 3","W13 [10:08]: 19 events, n_users=7, dominant=Course module viewed","W16 [10:11]: 9 events, n_users=6, dominant=Course viewed",,,,,
56,Sec-16,123,26,Window 12 of 12 in this session,4/22/2026 10:22,4/22/2026 10:23,3,3,"S1=1, S2=1, S3=1",0.33,Course module viewed,0.667,File,0.667,"Course module viewed: 2, Course viewed: 1","File: 2, System: 1","W23 [10:19]: 4 events, n_users=3, dominant=Course module viewed",(none — last retained window of session),,,,,
57,Sec-16,123,19,Window 8 of 12 in this session,4/22/2026 10:15,4/22/2026 10:16,6,3,"S1=3, S2=2, S3=1",0.5,Course module viewed,1,File,1,Course module viewed: 6,File: 6,"W18 [10:14]: 8 events, n_users=3, dominant=Course module viewed","W20 [10:16]: 12 events, n_users=6, dominant=Course module viewed",,,,,
58,Sec-16,113,3,Window 1 of 15 in this session,4/20/2026 10:02,4/20/2026 10:03,7,3,"S1=5, S2=1, S3=1",0.71,Course module viewed,0.571,File,0.429,"Course module viewed: 4, Course viewed: 2, The status of the submission has been viewed.: 1","File: 3, Assignment: 2, System: 2",(none — first retained window of session),"W4 [10:03]: 9 events, n_users=3, dominant=Course module viewed",,,,,
59,Sec-16,113,72,Window 11 of 15 in this session,4/20/2026 11:11,4/20/2026 11:12,8,6,"S1=2, S2=2, S3=1, S4=1, S5=1, S6=1",0.25,Course module viewed,0.625,File,0.5,"Course module viewed: 5, Course viewed: 2, Section viewed: 1","File: 4, System: 3, Folder: 1","W20 [10:19]: 5 events, n_users=3, dominant=Course module viewed","W73 [11:12]: 11 events, n_users=4, dominant=Course module viewed",,,,,
60,Sec-17,178,66,Window 11 of 15 in this session,4/22/2026 10:55,4/22/2026 10:56,4,3,"S1=2, S2=1, S3=1",0.5,Course module viewed,1,File,1,Course module viewed: 4,File: 4,"W31 [10:20]: 3 events, n_users=3, dominant=Course viewed","W67 [10:56]: 25 events, n_users=14, dominant=Course module viewed",,,,,
61,Sec-17,178,15,Window 3 of 15 in this session,4/22/2026 10:04,4/22/2026 10:05,5,4,"S1=2, S2=1, S3=1, S4=1",0.4,Course module viewed,0.6,File,0.6,"Course module viewed: 3, Course viewed: 2","File: 3, System: 2","W13 [10:02]: 4 events, n_users=3, dominant=Course viewed","W16 [10:05]: 5 events, n_users=4, dominant=Course module viewed",,,,,
62,Sec-17,178,29,Window 8 of 15 in this session,4/22/2026 10:18,4/22/2026 10:19,3,3,"S1=1, S2=1, S3=1",0.33,Course module viewed,0.667,File,0.667,"Course module viewed: 2, Course viewed: 1","File: 2, System: 1","W26 [10:15]: 4 events, n_users=3, dominant=Course module viewed","W30 [10:19]: 8 events, n_users=3, dominant=Course module viewed",,,,,
63,Sec-17,178,25,Window 6 of 15 in this session,4/22/2026 10:14,4/22/2026 10:15,11,6,"S1=3, S2=3, S3=2, S4=1, S5=1, S6=1",0.27,Course module viewed,0.545,File,0.545,"Course module viewed: 6, Course viewed: 4, Section viewed: 1","File: 6, System: 5","W19 [10:08]: 4 events, n_users=3, dominant=Course module viewed","W26 [10:15]: 4 events, n_users=3, dominant=Course module viewed",,,,,
64,Sec-17,170,39,Window 4 of 5 in this session,4/20/2026 10:35,4/20/2026 10:36,7,4,"S1=4, S2=1, S3=1, S4=1",0.57,Course module viewed,1,File,1,Course module viewed: 7,File: 7,"W38 [10:34]: 12 events, n_users=8, dominant=Course module viewed","W44 [10:40]: 4 events, n_users=3, dominant=Course module viewed",,,,,
65,Sec-17,178,69,Window 14 of 15 in this session,4/22/2026 10:58,4/22/2026 10:59,10,7,"S1=3, S2=2, S3=1, S4=1, S5=1, S6=1, S7=1",0.3,Course module viewed,1,File,1,Course module viewed: 10,File: 10,"W68 [10:57]: 23 events, n_users=12, dominant=Course module viewed","W70 [10:59]: 5 events, n_users=3, dominant=Course module viewed",,,,,
66,Sec-19,5,55,Window 6 of 7 in this session,2/16/2026 12:52,2/16/2026 12:53,26,7,"S1=8, S2=8, S3=3, S4=3, S5=2, S6=1, S7=1",0.31,Course module viewed,0.962,File,0.923,"Course module viewed: 25, Course viewed: 1","File: 24, URL: 1, System: 1","W13 [12:10]: 9 events, n_users=8, dominant=Course module viewed","W56 [12:53]: 21 events, n_users=3, dominant=Course module viewed",,,,,
67,Sec-19,5,12,Window 4 of 7 in this session,2/16/2026 12:09,2/16/2026 12:10,14,10,"S1=3, S2=2, S3=2, S4=1, S5=1, S6=1, S7=1, S8=1, S9=1, S10=1",0.21,Course module viewed,0.714,File,0.714,"Course module viewed: 10, Course viewed: 4","File: 10, System: 4","W11 [12:08]: 5 events, n_users=4, dominant=Course viewed","W13 [12:10]: 9 events, n_users=8, dominant=Course module viewed",,,,,
68,Sec-19,9,39,Window 4 of 21 in this session,2/18/2026 12:33,2/18/2026 12:34,5,4,"S1=2, S2=1, S3=1, S4=1",0.4,Course module viewed,0.6,File,0.6,"Course module viewed: 3, Course viewed: 2","File: 3, System: 2","W28 [12:22]: 4 events, n_users=3, dominant=Course viewed","W51 [12:45]: 9 events, n_users=6, dominant=Course module viewed",,,,,
